Company,Job Title,Location,Job Type,Experience,Skill 1,Skill 2,Skill 3,Skill 4,Skill 5,Skill 6,Perk 1,Perk 2,Perk 3,Perk 4,Perk 5,Perk 6,Required Skills,all_perks,tags
Shippeo,Data Scientist - Internship,"Paris, France",Internship,Entry-level,Classification,Machine Learning,ML models,NumPy,Pandas,Python,,,,,,,"Classification, Machine Learning, ML models, NumPy, Pandas, Python",,"data scientist - internship classification, machine learning, ml models, numpy, pandas, python"
Vention,Computer vision Developer,"Montréal, QC, Canada",Full Time,Entry-level,Computer Vision,Distributed Systems,GPU,JavaScript,Jupyter,Mathematics,Startup environment,,,,,,"Computer Vision, Distributed Systems, GPU, JavaScript, Jupyter, Mathematics",Startup environment,"computer vision developer computer vision, distributed systems, gpu, javascript, jupyter, mathematics"
CleverConnect,Data Engineer / Data Analyst - Stage de fin d'études - Paris 2e,"Paris, France",Full Time,Entry-level,Agile,Architecture,AWS,BigQuery,Dataflow,Data visualization,Career development,Yoga,,,,,"Agile, Architecture, AWS, BigQuery, Dataflow, Data visualization","Career development, Yoga","data engineer / data analyst - stage de fin d'études - paris 2e agile, architecture, aws, bigquery, dataflow, data visualization"
Abarca Health,"Intern, Data Engineer",Remote,Internship,Entry-level,Business Intelligence,Computer Science,ELT,Engineering,Healthcare technology,Snowflake,Flex hours,Health care,,,,,"Business Intelligence, Computer Science, ELT, Engineering, Healthcare technology, Snowflake","Flex hours, Health care","intern, data engineer business intelligence, computer science, elt, engineering, healthcare technology, snowflake"
Frazer-Nash Consultancy,Data Science and Systems Engineers - Summer Intern 2023,"UK, Great Britain, United Kingdom",Internship,Entry-level,Agile,Computer Science,Consulting,Engineering,Excel,Mathematics,Career development,Competitive pay,Flex hours,,,,"Agile, Computer Science, Consulting, Engineering, Excel, Mathematics","Career development, Competitive pay, Flex hours","data science and systems engineers - summer intern 2023 agile, computer science, consulting, engineering, excel, mathematics"
Plume Labs,AI Engineer Internship,"Paris, Île-de-France, France - Remote",Internship,Entry-level,Agile,APIs,Deep Learning,Keras,Machine Learning,NumPy,Career development,Flex hours,Startup environment,,,,"Agile, APIs, Deep Learning, Keras, Machine Learning, NumPy","Career development, Flex hours, Startup environment","ai engineer internship agile, apis, deep learning, keras, machine learning, numpy"
Lyft,Canada - Early Talent - Supply Chain Data Analyst Intern (Summer 2023),"Montreal, Canada",Internship,Entry-level,Business Analytics,Data analysis,Excel,Jira,Power BI,SQL,Health care,,,,,,"Business Analytics, Data analysis, Excel, Jira, Power BI, SQL",Health care,"canada - early talent - supply chain data analyst intern (summer 2023) business analytics, data analysis, excel, jira, power bi, sql"
Metropolis,Machine Learning Engineer Intern,"Seattle, WA or Santa Monica, CA",Internship,Entry-level,Architecture,Computer Vision,CUDA,cuDNN,Deep Learning,DenseNet,Startup environment,,,,,,"Architecture, Computer Vision, CUDA, cuDNN, Deep Learning, DenseNet",Startup environment,"machine learning engineer intern architecture, computer vision, cuda, cudnn, deep learning, densenet"
BenevolentAI,AI Scientist Internship,"London, England, United Kingdom",Internship,Entry-level,Architecture,Biology,Chemistry,Computer Science,Deep Learning,Drug discovery,Career development,Health care,,,,,"Architecture, Biology, Chemistry, Computer Science, Deep Learning, Drug discovery","Career development, Health care","ai scientist internship architecture, biology, chemistry, computer science, deep learning, drug discovery"
Netcetera,"Spring Internship Program - Machine Learning Engineer (Skopje, Bitola, Ohrid)","Skopje, Greater Skopje, North Macedonia",Internship,Entry-level,Computer Science,Computer Vision,Deep Learning,Machine Learning,NLP,NumPy,Career development,Conferences,Flex hours,,,,"Computer Science, Computer Vision, Deep Learning, Machine Learning, NLP, NumPy","Career development, Conferences, Flex hours","spring internship program - machine learning engineer (skopje, bitola, ohrid) computer science, computer vision, deep learning, machine learning, nlp, numpy"
Ubisoft,Stagiaire Data Analyst (F/H/NB),"Bordeaux, France",Full Time,Entry-level,Airflow,ETL,Git,Hadoop,PySpark,Python,,,,,,,"Airflow, ETL, Git, Hadoop, PySpark, Python",,"stagiaire data analyst (f/h/nb) airflow, etl, git, hadoop, pyspark, python"
Etsy,Data Science Intern,"Brooklyn, NY, United States",Full Time,Entry-level,Computer Vision,Data Mining,Deep Learning,Diffusion models,E-commerce,ICLR,Career development,Conferences,Equity,,,,"Computer Vision, Data Mining, Deep Learning, Diffusion models, E-commerce, ICLR","Career development, Conferences, Equity","data science intern computer vision, data mining, deep learning, diffusion models, e-commerce, iclr"
BenevolentAI,Bioinformatics Data Scientist Internship,"London, England, United Kingdom",Internship,Entry-level,Biology,Causal inference,Data Analytics,Data pipelines,Drug discovery,Engineering,Career development,,,,,,"Biology, Causal inference, Data Analytics, Data pipelines, Drug discovery, Engineering",Career development,"bioinformatics data scientist internship biology, causal inference, data analytics, data pipelines, drug discovery, engineering"
Vitol,Data Science Intern,"London, United Kingdom",Full Time,Entry-level,APIs,Architecture,Data analysis,Power BI,Python,SQL,,,,,,,"APIs, Architecture, Data analysis, Power BI, Python, SQL",,"data science intern apis, architecture, data analysis, power bi, python, sql"
BenevolentAI,Data Scientist Internship,"London, England, United Kingdom",Internship,Entry-level,Biology,Data analysis,Data quality,Drug discovery,Jupyter,Machine Learning,Career development,,,,,,"Biology, Data analysis, Data quality, Drug discovery, Jupyter, Machine Learning",Career development,"data scientist internship biology, data analysis, data quality, drug discovery, jupyter, machine learning"
Trust Lab,Data Science Intern | Greece,Remotely,Internship,Entry-level,Computer Science,Data analysis,Data Analytics,Data Studio,Engineering,Machine Learning,Career development,Competitive pay,Equity,,,,"Computer Science, Data analysis, Data Analytics, Data Studio, Engineering, Machine Learning","Career development, Competitive pay, Equity","data science intern | greece computer science, data analysis, data analytics, data studio, engineering, machine learning"
Spotify,"Summer Internship, Data Scientist | Content Business (US)",New York City,Internship,Entry-level,Computer Science,Economics,Machine Learning,Mathematics,ML models,PhD,Career development,,,,,,"Computer Science, Economics, Machine Learning, Mathematics, ML models, PhD",Career development,"summer internship, data scientist | content business (us) computer science, economics, machine learning, mathematics, ml models, phd"
Sia Partners,Stage de fin d'études - Consultant(e) Data Management,"Paris, France",Full Time,Entry-level,APIs,Architecture,AWS,Azure,Big Data,Business Intelligence,,,,,,,"APIs, Architecture, AWS, Azure, Big Data, Business Intelligence",,"stage de fin d'études - consultant(e) data management apis, architecture, aws, azure, big data, business intelligence"
FarmWise,Machine Learning Intern,"Paris, France (Hybrid)",Internship,Entry-level,AWS,Computer Vision,Deep Learning,GCP,Git,GPU,,,,,,,"AWS, Computer Vision, Deep Learning, GCP, Git, GPU",,"machine learning intern aws, computer vision, deep learning, gcp, git, gpu"
Spotify,"Summer Internship, Machine Learning Engineer Intern | Platform Mission (US)",New York City,Internship,Entry-level,A/B testing,Agile,Cassandra,Classification,Data quality,Flink,Career development,Home office stipend,,,,,"A/B testing, Agile, Cassandra, Classification, Data quality, Flink","Career development, Home office stipend","summer internship, machine learning engineer intern | platform mission (us) a/b testing, agile, cassandra, classification, data quality, flink"
AccuWeather,Data Developer Intern,"Remote or State College, PA",Internship,Entry-level,DataOps,,,,,,,,,,,,DataOps,,data developer intern dataops
Strava,Machine Learning Engineering Intern,Remote (USA),Internship,Entry-level,Computer Science,Data Mining,Data pipelines,Deep Learning,Engineering,Hadoop,Career development,Health care,Team events,,,,"Computer Science, Data Mining, Data pipelines, Deep Learning, Engineering, Hadoop","Career development, Health care, Team events","machine learning engineering intern computer science, data mining, data pipelines, deep learning, engineering, hadoop"
GRESB,Climate Data Analyst - Intern (Asset Impact) | Paris or Berlin,"Paris, Île-de-France, France",Internship,Entry-level,Data analysis,Excel,Finance,Python,R,RDBMS,Career development,,,,,,"Data analysis, Excel, Finance, Python, R, RDBMS",Career development,"climate data analyst - intern (asset impact) | paris or berlin data analysis, excel, finance, python, r, rdbms"
Roblox,Data Science Intern - Causal Inference with Network Interference (Summer 2023),"San Mateo, CA, United States",Internship,Entry-level,Airflow,Big Data,Causal inference,Computer Science,Economics,Engineering,Career development,Equity,Flex hours,,,,"Airflow, Big Data, Causal inference, Computer Science, Economics, Engineering","Career development, Equity, Flex hours","data science intern - causal inference with network interference (summer 2023) airflow, big data, causal inference, computer science, economics, engineering"
Trigo,STAGE - Data Analyst POWER BI - H/F,"Nanterre, France",Full Time,Entry-level,Excel,Power BI,Robotics,RPA,SharePoint,,,,,,,,"Excel, Power BI, Robotics, RPA, SharePoint",,"stage - data analyst power bi - h/f excel, power bi, robotics, rpa, sharepoint"
Santen,Data Science Intern,"Emeryville, CA, United States",Full Time,Entry-level,Data analysis,R,SAS,Statistics,,,Flex hours,Startup environment,Team events,,,,"Data analysis, R, SAS, Statistics","Flex hours, Startup environment, Team events","data science intern data analysis, r, sas, statistics"
Spotify,"Summer Internship, Analytics Engineer | Content Business (US)",New York City,Internship,Entry-level,APIs,BigQuery,Computer Science,Engineering,ETL,PhD,Home office stipend,Startup environment,,,,,"APIs, BigQuery, Computer Science, Engineering, ETL, PhD","Home office stipend, Startup environment","summer internship, analytics engineer | content business (us) apis, bigquery, computer science, engineering, etl, phd"
Spotlab,Artificial Intelligence Research Internship,"Madrid, Spain",Internship,Entry-level,Caffe,Computer Science,Computer Vision,Deep Learning,Engineering,Keras,Career development,Health care,Startup environment,,,,"Caffe, Computer Science, Computer Vision, Deep Learning, Engineering, Keras","Career development, Health care, Startup environment","artificial intelligence research internship caffe, computer science, computer vision, deep learning, engineering, keras"
Fetch,Data Analytics Internship,"Birmingham, AL",Internship,Entry-level,Data Analytics,Grafana,Python,SQL,Statistics,Tableau,Flex vacation,,,,,,"Data Analytics, Grafana, Python, SQL, Statistics, Tableau",Flex vacation,"data analytics internship data analytics, grafana, python, sql, statistics, tableau"
Sayari,Data Engineer Intern,United States - Remote,Internship,Entry-level,Airflow,AWS,Azure,Engineering,ETL,GCP,401(k) matching,Career development,Competitive pay,,,,"Airflow, AWS, Azure, Engineering, ETL, GCP","401(k) matching, Career development, Competitive pay","data engineer intern airflow, aws, azure, engineering, etl, gcp"
Spot AI,Data Analytics Engineer (Intern),"Hayward, California, United States",Internship,Entry-level,APIs,AWS,BigQuery,Computer Science,Data Analytics,Databricks,Career development,,,,,,"APIs, AWS, BigQuery, Computer Science, Data Analytics, Databricks",Career development,"data analytics engineer (intern) apis, aws, bigquery, computer science, data analytics, databricks"
Gameloft,Data Analyst Intern - Summer 2023,"Toronto, ON, Canada",Internship,Entry-level,Computer Science,Data visualization,Mathematics,SQL,Statistics,,Career development,Flex hours,Flex vacation,,,,"Computer Science, Data visualization, Mathematics, SQL, Statistics","Career development, Flex hours, Flex vacation","data analyst intern - summer 2023 computer science, data visualization, mathematics, sql, statistics"
Spotify,"Summer Internship, Product Management | Data Management (US)",New York City,Internship,Entry-level,Agile,Big Data,Computer Science,Data management,Economics,Engineering,Home office stipend,,,,,,"Agile, Big Data, Computer Science, Data management, Economics, Engineering",Home office stipend,"summer internship, product management | data management (us) agile, big data, computer science, data management, economics, engineering"
Bosch Group,Intern | Machine Learning (Generative AI),"Singapore, Singapore",Internship,Entry-level,Computer Science,Data analysis,Deep Learning,EDA,Engineering,Feature engineering,Career development,,,,,,"Computer Science, Data analysis, Deep Learning, EDA, Engineering, Feature engineering",Career development,"intern | machine learning (generative ai) computer science, data analysis, deep learning, eda, engineering, feature engineering"
Gojek,Data Science Intern - Payments,Singapore,Internship,Entry-level,Caffe,Computer Vision,Deep Learning,Engineering,Keras,Machine Learning,Team events,,,,,,"Caffe, Computer Vision, Deep Learning, Engineering, Keras, Machine Learning",Team events,"data science intern - payments caffe, computer vision, deep learning, engineering, keras, machine learning"
Agot AI,"Deep Learning Infrastructure Intern (Summer, Full-Time)","Pittsburgh, PA",Internship,Entry-level,AWS,Computer Science,Computer Vision,Deep Learning,DevOps,Docker,Career development,Flex hours,Startup environment,,,,"AWS, Computer Science, Computer Vision, Deep Learning, DevOps, Docker","Career development, Flex hours, Startup environment","deep learning infrastructure intern (summer, full-time) aws, computer science, computer vision, deep learning, devops, docker"
Bosch Group,Embedded Machine Learning Intern for Sensors and Edge Devices,"Sunnyvale, CA, United States",Internship,Entry-level,ASIC Design,Classification,Computer Science,Data Mining,Engineering,Linux,,,,,,,"ASIC Design, Classification, Computer Science, Data Mining, Engineering, Linux",,"embedded machine learning intern for sensors and edge devices asic design, classification, computer science, data mining, engineering, linux"
Bugcrowd,Data Science Intern,United States,Internship,Entry-level,A/B testing,Data analysis,EDA,Engineering,Git,GitHub,,,,,,,"A/B testing, Data analysis, EDA, Engineering, Git, GitHub",,"data science intern a/b testing, data analysis, eda, engineering, git, github"
Believe,Data Analyst - Internship (H/F),"Paris, France",Internship,Entry-level,Power BI,,,,,,Career development,,,,,,Power BI,Career development,data analyst - internship (h/f) power bi
Snowflake Inc.,Data Engineer Intern,"Dublin, CA, USA",Internship,Entry-level,Computer Science,Data pipelines,Data warehouse,Distributed Systems,Engineering,Excel,Flex hours,Startup environment,Team events,,,,"Computer Science, Data pipelines, Data warehouse, Distributed Systems, Engineering, Excel","Flex hours, Startup environment, Team events","data engineer intern computer science, data pipelines, data warehouse, distributed systems, engineering, excel"
Mendix,Data Quality Management Internship,Rotterdam,Internship,Entry-level,AWS,Computer Science,Data quality,Engineering,Power BI,Privacy,Transparency,,,,,,"AWS, Computer Science, Data quality, Engineering, Power BI, Privacy",Transparency,"data quality management internship aws, computer science, data quality, engineering, power bi, privacy"
Smartsheet,"Product Design Intern, Data Integrations","-REMOTE, UK-",Internship,Entry-level,Agile,Engineering,Privacy,Prototyping,Research,UX,Career development,,,,,,"Agile, Engineering, Privacy, Prototyping, Research, UX",Career development,"product design intern, data integrations agile, engineering, privacy, prototyping, research, ux"
CleverConnect,Data Engineer / Data Analyst - Stage de fin d'études - Paris 2e,"Paris, France",Full Time,Entry-level,Agile,Architecture,AWS,BigQuery,Dataflow,Data visualization,Career development,Yoga,,,,,"Agile, Architecture, AWS, BigQuery, Dataflow, Data visualization","Career development, Yoga","data engineer / data analyst - stage de fin d'études - paris 2e agile, architecture, aws, bigquery, dataflow, data visualization"
CleverConnect,Data Analyst - Stage de fin d'études - Paris 2e,"Paris, France",Full Time,Entry-level,Agile,Architecture,AWS,BigQuery,Dataflow,Data visualization,Career development,Yoga,,,,,"Agile, Architecture, AWS, BigQuery, Dataflow, Data visualization","Career development, Yoga","data analyst - stage de fin d'études - paris 2e agile, architecture, aws, bigquery, dataflow, data visualization"
Bosch Group,"Intern, Robot Research Engineer","Singapore, Singapore",Internship,Entry-level,Computer Science,Engineering,Industrial,Machine Learning,Python,Research,Career development,,,,,,"Computer Science, Engineering, Industrial, Machine Learning, Python, Research",Career development,"intern, robot research engineer computer science, engineering, industrial, machine learning, python, research"
Amazon.com,Amazon Robotics - Applied Scientist Intern/Co-op - 2023,"Westborough, Massachusetts, USA",Full Time,Entry-level,Computer Science,Computer Vision,Engineering,Machine Learning,Mathematics,PhD,,,,,,,"Computer Science, Computer Vision, Engineering, Machine Learning, Mathematics, PhD",,"amazon robotics - applied scientist intern/co-op - 2023 computer science, computer vision, engineering, machine learning, mathematics, phd"
Spotify,"Summer Internship, Data Science | Music Mission (US)",New York City,Internship,Entry-level,A/B testing,Airflow,Biology,Computer Science,Data pipelines,Data visualization,Home office stipend,,,,,,"A/B testing, Airflow, Biology, Computer Science, Data pipelines, Data visualization",Home office stipend,"summer internship, data science | music mission (us) a/b testing, airflow, biology, computer science, data pipelines, data visualization"
Verisk,Data Science Intern - 2023 Summer Internship Program - CR,"Kraków, Poland",Part Time,Entry-level,Bayesian,Business Analytics,Classification,Data analysis,Engineering,Finance,Career development,Equity,Insurance,,,,"Bayesian, Business Analytics, Classification, Data analysis, Engineering, Finance","Career development, Equity, Insurance","data science intern - 2023 summer internship program - cr bayesian, business analytics, classification, data analysis, engineering, finance"
Relativity,Machine Learning Operations Intern - Summer 2023,Remote United States,Internship,Entry-level,AWS,Azure,Computer Science,Databricks,GCP,Linux,Career development,Flex hours,Flex vacation,,,,"AWS, Azure, Computer Science, Databricks, GCP, Linux","Career development, Flex hours, Flex vacation","machine learning operations intern - summer 2023 aws, azure, computer science, databricks, gcp, linux"
HRL Laboratories,Doctorate Intern in Machine Learning and Reasoning,"Calabasas, CA",Internship,Entry-level,Deep Learning,Machine intelligence,Machine Learning,Privacy,Python,PyTorch,401(k) matching,Career development,Competitive pay,,,,"Deep Learning, Machine intelligence, Machine Learning, Privacy, Python, PyTorch","401(k) matching, Career development, Competitive pay","doctorate intern in machine learning and reasoning deep learning, machine intelligence, machine learning, privacy, python, pytorch"
Dyania Health,NLP Applied Science Internship,"Jersey City, New Jersey, United States",Internship,Entry-level,Computer Science,Engineering,HuggingFace,Machine Learning,Mathematics,NLP,Conferences,Flex hours,,,,,"Computer Science, Engineering, HuggingFace, Machine Learning, Mathematics, NLP","Conferences, Flex hours","nlp applied science internship computer science, engineering, huggingface, machine learning, mathematics, nlp"
CleverConnect,Data Engineer - Stage de fin d'études - Paris 2e,"Paris, France",Full Time,Entry-level,Agile,Architecture,AWS,BigQuery,Dataflow,Data visualization,Career development,Yoga,,,,,"Agile, Architecture, AWS, BigQuery, Dataflow, Data visualization","Career development, Yoga","data engineer - stage de fin d'études - paris 2e agile, architecture, aws, bigquery, dataflow, data visualization"
Wisk Aero,Autonomy Engineering Summer Intern,"Mountain View, CA",Internship,Entry-level,C++,Computer Science,Computer Vision,Engineering,Genetics,Matlab,401(k) matching,Career development,Competitive pay,,,,"C++, Computer Science, Computer Vision, Engineering, Genetics, Matlab","401(k) matching, Career development, Competitive pay","autonomy engineering summer intern c++, computer science, computer vision, engineering, genetics, matlab"
METRO/MAKRO,Internship - Data Analytics with SQL,"București, Romania",Full Time,Entry-level,Cybernetics,Data Analytics,Engineering,Excel,SQL,Statistics,Career development,Flex hours,Startup environment,,,,"Cybernetics, Data Analytics, Engineering, Excel, SQL, Statistics","Career development, Flex hours, Startup environment","internship - data analytics with sql cybernetics, data analytics, engineering, excel, sql, statistics"
Freenome,Machine Learning Research Engineering Intern (Remote),"South San Francisco, California",Internship,Entry-level,Biology,Computer Science,Engineering,GPU,Machine Learning,Model training,Career development,Conferences,Medical leave,,,,"Biology, Computer Science, Engineering, GPU, Machine Learning, Model training","Career development, Conferences, Medical leave","machine learning research engineering intern (remote) biology, computer science, engineering, gpu, machine learning, model training"
Etsy,Data Science Intern,"Brooklyn, NY, United States",Full Time,Entry-level,Computer Vision,Data Mining,Deep Learning,Diffusion models,E-commerce,ICLR,Career development,Conferences,Equity,,,,"Computer Vision, Data Mining, Deep Learning, Diffusion models, E-commerce, ICLR","Career development, Conferences, Equity","data science intern computer vision, data mining, deep learning, diffusion models, e-commerce, iclr"
Schrödinger,Life Science Data Engineer Intern,New York,Internship,Entry-level,APIs,Architecture,Biology,Chemistry,CI/CD,Computer Science,Career development,Lunch / meals,Startup environment,,,,"APIs, Architecture, Biology, Chemistry, CI/CD, Computer Science","Career development, Lunch / meals, Startup environment","life science data engineer intern apis, architecture, biology, chemistry, ci/cd, computer science"
Publicis Groupe,Data Analyst - Internship,"Milano, Italy",Full Time,Entry-level,Business Intelligence,Computer Science,Consulting,Mathematics,Statistics,,Flex hours,Wellness,,,,,"Business Intelligence, Computer Science, Consulting, Mathematics, Statistics","Flex hours, Wellness","data analyst - internship business intelligence, computer science, consulting, mathematics, statistics"
Believe,Junior Data Analyst - Stage (H/F),"Paris, France",Full Time,Entry-level,Business Intelligence,Excel,Power BI,Python,Streaming,Tableau,Transparency,,,,,,"Business Intelligence, Excel, Power BI, Python, Streaming, Tableau",Transparency,"junior data analyst - stage (h/f) business intelligence, excel, power bi, python, streaming, tableau"
Vitol,Data Science Intern,"London, United Kingdom",Full Time,Entry-level,APIs,Architecture,Data analysis,Power BI,Python,SQL,,,,,,,"APIs, Architecture, Data analysis, Power BI, Python, SQL",,"data science intern apis, architecture, data analysis, power bi, python, sql"
Adarga,Data Science Summer Internship Programme 2023,"London, United Kingdom",Internship,Entry-level,Deep Learning,Engineering,Machine Learning,NLP,Privacy,Research,Flex hours,,,,,,"Deep Learning, Engineering, Machine Learning, NLP, Privacy, Research",Flex hours,"data science summer internship programme 2023 deep learning, engineering, machine learning, nlp, privacy, research"
Bosch Group,"Intern, AI Engineer for HVAC","Singapore, Singapore",Internship,Entry-level,Computer Science,Engineering,Industrial,NumPy,OpenAI,Pandas,Career development,,,,,,"Computer Science, Engineering, Industrial, NumPy, OpenAI, Pandas",Career development,"intern, ai engineer for hvac computer science, engineering, industrial, numpy, openai, pandas"
Adarga,Data Science Intern 2023,"London, United Kingdom",Internship,Entry-level,Deep Learning,Engineering,Machine Learning,NLP,Privacy,Research,Flex hours,,,,,,"Deep Learning, Engineering, Machine Learning, NLP, Privacy, Research",Flex hours,"data science intern 2023 deep learning, engineering, machine learning, nlp, privacy, research"
Deloitte,Data Management Unit Intern,"Nakuru, Kenya",Internship,Entry-level,Consulting,Data analysis,Data management,Data quality,Data visualization,Excel,Career development,Startup environment,Team events,,,,"Consulting, Data analysis, Data management, Data quality, Data visualization, Excel","Career development, Startup environment, Team events","data management unit intern consulting, data analysis, data management, data quality, data visualization, excel"
CloudSEK,Machine Learning Intern,"Bengaluru, Karnataka, India",Internship,Entry-level,BERT,Elasticsearch,GPT,Keras,Machine Learning,ML models,Career development,Competitive pay,Flex hours,,,,"BERT, Elasticsearch, GPT, Keras, Machine Learning, ML models","Career development, Competitive pay, Flex hours","machine learning intern bert, elasticsearch, gpt, keras, machine learning, ml models"
"Nuro, Inc.","Applied Research, Machine Learning - PhD Summer Intern","Mountain View, California (HQ)",Internship,Entry-level,Autonomous Driving,Computer Science,Deep Learning,Generative modeling,ICLR,ICML,Career development,Conferences,,,,,"Autonomous Driving, Computer Science, Deep Learning, Generative modeling, ICLR, ICML","Career development, Conferences","applied research, machine learning - phd summer intern autonomous driving, computer science, deep learning, generative modeling, iclr, icml"
Spotify,"Summer Internship, Research Scientist, Audio Intelligence | Music Mission (EMEA or US)",Berlin,Internship,Entry-level,Computer Science,Engineering,GitHub,Machine Learning,Mathematics,NumPy,,,,,,,"Computer Science, Engineering, GitHub, Machine Learning, Mathematics, NumPy",,"summer internship, research scientist, audio intelligence | music mission (emea or us) computer science, engineering, github, machine learning, mathematics, numpy"
Bosch Group,Internship: Deep Learning based Lane and Road Edge Detection,"Leonberg, Germany",Full Time,Entry-level,Agile,Computer Science,Computer Vision,Deep Learning,Engineering,Python,Flex hours,,,,,,"Agile, Computer Science, Computer Vision, Deep Learning, Engineering, Python",Flex hours,"internship: deep learning based lane and road edge detection agile, computer science, computer vision, deep learning, engineering, python"
