Company,Job Title,Location,Job Type,Experience,Skill 1,Skill 2,Skill 3,Skill 4,Skill 5,Skill 6,Perk 1,Perk 2,Perk 3,Perk 4,Perk 5,Perk 6,Required Skills,all_perks,tags
Bosch Group,[Intern] AI/ Computer Vision Engineer,"Tân Bình, Vietnam",Full Time,Entry-level,Computer Science,Computer Vision,Consulting,Deep Learning,Economics,Engineering,Career development,Team events,,,,,"Computer Science, Computer Vision, Consulting, Deep Learning, Economics, Engineering","Career development, Team events","[intern] ai/ computer vision engineer computer science, computer vision, consulting, deep learning, economics, engineering"
Publicis Groupe,"Intern, Data Science & Analytics","Miami, FL, United States",Internship,Entry-level,Data strategy,Data Studio,Excel,Power BI,Python,Research,Flex hours,Flex vacation,Insurance,,,,"Data strategy, Data Studio, Excel, Power BI, Python, Research","Flex hours, Flex vacation, Insurance","intern, data science & analytics data strategy, data studio, excel, power bi, python, research"
Bosch Group,Internship for BigData Analysis in the areas of Project Management and SW Development Metrics,"Abstatt, Germany",Internship,Entry-level,Azure,Big Data,Computer Science,Data analysis,Engineering,Excel,Career development,Team events,,,,,"Azure, Big Data, Computer Science, Data analysis, Engineering, Excel","Career development, Team events","internship for bigdata analysis in the areas of project management and sw development metrics azure, big data, computer science, data analysis, engineering, excel"
Informa Group Plc.,Data Analytics Intern (Summer 2023),"Washington, DC, United States",Internship,Entry-level,Big Data,BigQuery,Computer Science,Data analysis,Data Analytics,Data Studio,Competitive pay,Startup environment,,,,,"Big Data, BigQuery, Computer Science, Data analysis, Data Analytics, Data Studio","Competitive pay, Startup environment","data analytics intern (summer 2023) big data, bigquery, computer science, data analysis, data analytics, data studio"
Facilities Management Express,Customer Data Specialist Intern,"Columbus, Ohio, United States - Remote",Internship,Entry-level,Airtable,APIs,Business Analytics,Business Intelligence,Data visualization,ETL,Career development,Competitive pay,Flex vacation,,,,"Airtable, APIs, Business Analytics, Business Intelligence, Data visualization, ETL","Career development, Competitive pay, Flex vacation","customer data specialist intern airtable, apis, business analytics, business intelligence, data visualization, etl"
AppLovin,Project Manager Intern - SparkLabs,San Francisco Bay Area,Internship,Entry-level,Excel,Jira,Privacy,Testing,,,Career development,,,,,,"Excel, Jira, Privacy, Testing",Career development,"project manager intern - sparklabs excel, jira, privacy, testing"
"Chemix, Inc.",Machine Learning Research Engineer Internship,"Sunnyvale, California, United States",Internship,Entry-level,Chemistry,CI/CD,Git,Machine Learning,ML models,NumPy,401(k) matching,Career development,Equity,,,,"Chemistry, CI/CD, Git, Machine Learning, ML models, NumPy","401(k) matching, Career development, Equity","machine learning research engineer internship chemistry, ci/cd, git, machine learning, ml models, numpy"
Lyft,"Canada - Early Talent - Data Science Intern, Decisions-Product - Montreal, Canada (Summer 2023)","Montreal, Canada",Internship,Entry-level,A/B testing,Biology,Computer Science,Economics,Engineering,Mathematics,Health care,Startup environment,,,,,"A/B testing, Biology, Computer Science, Economics, Engineering, Mathematics","Health care, Startup environment","canada - early talent - data science intern, decisions-product - montreal, canada (summer 2023) a/b testing, biology, computer science, economics, engineering, mathematics"
EcoVadis,Data Management Intern (12 months Internship),"Ebène, Mauritius",Internship,Entry-level,Classification,Data management,Excel,Research,,,Career development,Flex hours,Health care,,,,"Classification, Data management, Excel, Research","Career development, Flex hours, Health care","data management intern (12 months internship) classification, data management, excel, research"
"Chemix, Inc.",Battery Data Science Intern,"Sunnyvale, California, United States",Internship,Entry-level,Chemistry,CI/CD,Computer Science,Data pipelines,Engineering,Git,401(k) matching,Career development,Equity,,,,"Chemistry, CI/CD, Computer Science, Data pipelines, Engineering, Git","401(k) matching, Career development, Equity","battery data science intern chemistry, ci/cd, computer science, data pipelines, engineering, git"
Roofstock,Data Engineering Intern,"Oakland, CA",Internship,Entry-level,Computer Science,Engineering,Python,RDBMS,Scala,SQL,Competitive pay,Startup environment,,,,,"Computer Science, Engineering, Python, RDBMS, Scala, SQL","Competitive pay, Startup environment","data engineering intern computer science, engineering, python, rdbms, scala, sql"
SOMFY Group,Data Analyst (6 month internship) (M/F),"Cluses, France",Internship,Entry-level,Data management,Data quality,Industrial,R,R&D,Testing,Career development,,,,,,"Data management, Data quality, Industrial, R, R&D, Testing",Career development,"data analyst (6 month internship) (m/f) data management, data quality, industrial, r, r&d, testing"
Verily,"Data Science Intern, Registries and Real World Data","South San Francisco, CA",Internship,Entry-level,Biology,Computer Science,Data quality,Engineering,Machine Learning,Mathematics,Career development,Competitive pay,Equity,,,,"Biology, Computer Science, Data quality, Engineering, Machine Learning, Mathematics","Career development, Competitive pay, Equity","data science intern, registries and real world data biology, computer science, data quality, engineering, machine learning, mathematics"
